"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Dak Prescott","DAL","9","11","$17","309.6","3.3","4","Dak had some monster games in 2021 returning from a major injury with a 38 percent ‘great game rate’, he trailed only Josh Allen and Tom Brady among top-10 QBs. With the highest completion rate (69%) and TD rate (6.2%) of his career, he bounced back nicely. Dallas led NFL in points per game (31.2)  including seven games of 35+ points. He hit a lull from Weeks 13-15 but finished strong in the final three weeks:  QB2, QB5, and QB1. He’s one of the safest QBs in fantasy and the Dallas offense (with OC Kellen Moore) is going to flow through the arm of Dak. If he runs for 200+ and scores 4-5 on the ground, Dak could enter the elite tier again in 2022.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Matthew Stafford","LAR","7","12","$15","300.1","2.3","5","Stafford’s top-5 finish feels a bit flawed when you consider some of the major flops (MIN & BAL) he had towards the end of the year for fantasy managers. Nevertheless, he led the league in games of 3+ TD passes (9) and his ten top-12 performances were the same as Aaron Rodgers. The frustrating part was the turnovers. He joins Drew Brees (2012) as the only QBs in NFL history to throw for 40+ TDs & lead the league in INTs. He also led the league with four pick-sixes. Stafford will likely be drafted among the top-8 QBs for 2022; with Cooper Kupp in tow and Allen Robinson’s arrival, he should have more options inside the red zone.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kirk Cousins","MIN","7","13","$14","299.9","2.7","5","Cousins is one of the steadiest fantasy QBs out there. It's not flashy but over the past three years, he has a 6.2 percent TD rate, the fifth-highest in the NFL. In 2021, he had nine QB1 performances and one of the better road splits in football averaging 23 fantasy points per contest. Jason is especially bullish on the Vikings' passing game this year making Cousins one of the preferred late-round QBs to open the season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Aaron Rodgers","GB","14","14","$12","293.3","4.3","5","The back-to-back league MVP finished the year on a roll. From Weeks 11-17, here were his fantasy finishes: QB2, 2, bye, 3, 6, 8, 9. Not bad when you consider how the Packers started the year getting annihilated against the Saints in Week 1. Two TDs were in the bank almost every single week as Rodgers had two or more passing TDs in 15 of his 17 starts. There are obviously lots of questions heading in 2022 with Davante Adams’ departure. His floor is high but a top-3 finish likely isn’t in the range of outcomes given his lack of rushing upside at this stage of his career.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Derek Carr","LV","6","15","$6","274.0","3.0","5","You have to feel happy for Derek Carr getting a massive extension and reuniting with his best bud Davante Adams. No word yet on how close they are and if breakfast is in their summer plans. It’s a definite boom for Carr’s upside but it must be tempered knowing he’s never finished a season as a top-12 fantasy QB. Even with 4,800+ passing yards and finishing 2nd among all QBs in 20+ yard pass plays last season, his lack of rushing yards ultimately hurts him from hanging with the elites for fantasy. The Raiders also were quite fortunate in 2021 going 10-7 despite having a win expectation of just 6.9. In the ultra-competitive AFC West, things only might get tougher in 2022. Carr is a QB2 that will have weeks against sub-par opponents.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Daniel Jones","NYG","9","16","$2","261.3","7.7","6","It feels like we’ve been here before as this now marks the 4th year of your precious life where Daniel Jones is the starting QB for the New York Giants. I know, your brain won’t let you forget nor can you unsee what has transpired on the football field as his teams have gone a combined 12-25 thus far. It seems like we know what he is: wildly erratic with the occasional boom games thanks to his sneaky rushing floor averaging 26.3 rushing yards per game. More than anything, we know that former Giants GM Dave Gettleman reached for Jones at 6th overall in the 2019 draft and the Giants look like they’re moving on not picking up his 5th-year option. Dependability isn’t one of his key traits; rather, it’s volatility and fumbling.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tua Tagovailoa","MIA","11","17","$2","259.7","5.0","6","This is his time… at least Miami fans are saying that. The Dolphins front office has done everything imaginable to equip Tua bringing in an offensive-minded head coach, trading for Tyreek Hill, and signing LT Terron Armstead to bolster the league’s worst offensive line. Unfortunately, we’ve seen relatively few true boom games from Tua with only two top-8 weekly finishes in his first two years in the league. While the Dolphins had the 8th most pass attempts in the NFL, the lack of efficiency and averaging only 204 passing yards per game is not going to cut it. His career TD rate of 4.1 percent will need to climb dramatically for him to finish inside the top-12 at the position.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Trevor Lawrence","JAX","11","18","$1","258.5","5.9","6","How bad was it in Jacksonville? Lawrence's 12 passing TDs & 214.2 passing yards per game were the lowest ever for any QB with 600+ passing attempts in a season.  Among rookie QBs to start at least 12 games in a season, his 2% TD rate is the lowest ever. But it's actually quite sane to point at Urban Meyer as the pile of dog poo and blame the circle of flies hovering around Lawrence's fantasy outlook along with it. The Jaguars are pressing reset adding WR Christian Kirk to a unit that underwhelmed in 2021. Lawrence can only go up from here, right? A top-12 season is well within the realm of possibilities but top-15 would be a step in the right direction.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mac Jones","NE","10","19","$1","254.6","3.0","7","Jones exceeded almost everyone’s expectations in 2021 leading the Patriots to a 10-7 record and a playoff appearance. He finished 8th in completion percentage at 67.6, the 2nd highest number for a rookie all-time behind only Dak Prescott (67.7). For fantasy, it’s kind of like Bill Belichick treats him like a Honda Civic. Dependable? Yes. Are you ever going to win a street race? No, unless it’s totally tricked out. The Patriots' game plan is winning with ball control and defense as Jones averaged only 223.6 passing yards per game finishing as a QB1 only five times. Four of the five came at home against bottom-16 defenses so if you do want to stream the 2nd year QB, make sure it’s a matchup-based decision.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Matt Ryan","IND","14","20","$1","254.2","2.7","7","Ryan gets a fresh start in Indianapolis after being Atlanta's franchise QB since 2008, way back when George Dubbya was president. The Colts are currently divisional favorites and after stumbling down the stretch with Carson Wentz last year, Ryan hopefully can return better than replacement level play. He's a long way away from being the 4,500+ yardage machine he was for years in Atlanta. Jonathan Taylor is the center of this offense and while Ryan will have his moments, the lack of proven playmakers outside of Michael Pittman Jr. puts him in mid-QB2 territory rather than a viable fantasy starter out the gate.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Justin Fields","CHI","14","21","$1","251.3","7.8","7","There are major mixed opinions amongst the Footballers about Fields' 2022 outlook. The upside? He is one of six rookie QBs since 2010 to average 35 rushing yards per game and we saw glimpses of his greatness including a monster game in Week 8 versus San Francisco. The fears are this Bears team could be among the worst in the NFL and if you can name more than two pass catchers for this team, congratulations. The receivers apart from Darnell Mooney are below replacement level and the Bears did little this off-season to outfit Fields for success. You either gamble on his talent as a late-round QB based on what you saw briefly with your eyeballs or stay far away in drafts based on what your heart knows is true about these 2022 Chicago Bears. Whispers: it is not good.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jameis Winston","NO","14","22","$1","247.9","5.0","7","The Saints were a respectable 5-2 with Jameis before he went down to a season-ending knee injury. He likely won't be fully ready at the start of the season but the former No. 1 pick is still only 28 years old. We’re past the Tampa Bay days of Jameis wildly throwing TDs & INTs like his life depended on it. This version seems to have his foot hovering over the break as the Saints' defense is one of the better units in the league.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Ryan Tannehill","TEN","6","23","$1","246.8","6.0","7","After receiving a massive contract extension the previous offseason, Tannehill and the Titans fought their way through major team injuries across the board to finish as the AFC's No. 1 seed. For fantasy, Tannehill was basically not startable despite finishing as QB12. His TD rate returned back to earth at a pedestrian 4 percent after being at 6.9 the previous three seasons. With A.J. Brown gone, it's hard envisioning Tannehill being able to repeat his previous peak fantasy powers again in 2022. He's not a volume passer and unless you think Treylon Burks is already elite, Tannehill is best kept as a QB2. He will have streaming weeks but this offense functions through Derrick Henry.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Carson Wentz","WAS","14","24","$1","244.1","6.0","7","Wentz’s season was a complete roller coaster with the Colts starting out 1-4 before the team caught fire. From Weeks 5-12, he was the QB7 and it seemed like he fixed some of his wayward decisions. He lowered his INT rate to 1.4% but a career low 210 passing yards per game. After their embarrassing Week 18 defeat to the Jaguars knocked them out of the playoffs, GM Chris Ballard publicly shared that the team was done with Wentz and his antics. In Washington, Wentz is now on his 3rd life with a new cast of pass-catchers. One drive he can look like an All-Pro and the next you’re wondering if maybe he knows which sport he’s playing out there. There is no chance you can have confidence in Wentz’s week-to-week outlook for fantasy but the fact Washington believes he’s an upgrade over what they trotted out there last year is at least somewhat encouraging. I think.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mitch Trubisky","PIT","9","25","$1","243.8","7.3","7","Pittsburgh will name their starting QB but the time is ticking for Trubisky to eventually be supplanted by rookie Kenny Pickett at some point in the year. Maybe it's best to forget the fact Chicago once traded up to No. 2 overall to pick this guy... ahead of Patrick Mahomes? Sigh.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jared Goff","DET","6","26","$1","241.2","3.3","8","Goff and the Lions played hard for Dan Campbell last year. The problem is grit and biting kneecaps doesn't exactly translate to fantasy production.  He had three weeks inside the top-12 at the position and finished with his lowest yards per attempt (6.8) of his career. The arrival of rookie Jameson Williams gives Lions fans some optimism for exciting down-the-field plays but Goff's main targets will be Amon-Ra St. Brown and T.J. Hockenson over the middle. The Lions could surprise this year but Goff is best left off fantasy rosters.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Zach Wilson","NYJ","10","27","$1","239.5","6.7","8","Wilson is getting a pass for his otherwise rough rookie year. He completed just 55(!) percent of his passes and led all QBs in sacks where the “QB was responsible”, not the offensive line. At the end of the year, he did show some flashes of brilliance including some rushing prowess which definitely entices fantasy managers. The Jets had a great NFL draft including taking Garrett Wilson at 10th overall to pair with Elijah Moore as one of the best young pass-catching duos in the NFL. Wilson has the tools but there are still major questions about whether he can take the leap for fantasy and be consistent enough to count on. Streamer? Yes. Will he turn into a weekly starter? Likely no.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Baker Mayfield","CAR","13","28","$1","231.9","5.7","8","From No. 1 overall pick with Cleveland commercials flooding the TV screen to being shipped out of town for a 5th-round pick, Mayfield's career has been a wild ride. In Carolina, he has one more shot to cash in on his potential heading into a contract year. He's an obvious upgrade over Sam Darnold on an offense that has some solid offensive weapons that just need more competent play. The Panthers ranked 29th in points per game, 31st in passing TDs, and dead last in yards per play. He's off the redraft radar to start the year although CAR playing CLE in Week 1 is enticing for a revenge game narrative.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Marcus Mariota","ATL","14","29","$1","230.6","7.7","8","Mariota signed a two-year deal with Atlanta to be a bridge QB to potentially Desmond Ridder, whom Atlanta took in the 3rd round. Mariota has a ton of familiarity with Arthur Smith's system and could have some sneaky SuperFlex appeal if they let him run 5+ times a game. Nevertheless, Atlanta is arguably the worst team in the league and at this stage in his career, Mariota is a journeyman with a below-average arm.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Geno Smith","SEA","11","30","$1","227.6","8.0","8","As we head towards the season, Geno Smith looks like he's taken the lead over Drew ""Dance With Me"" Lock. It's ugly in Seattle, we know. Geno was competent from a game manager standpoint last year; but for fantasy, you might as well prepare your body for full-on diarrhea. In three starts, he averaged just 26 pass attempts per game with passing yard totals so maddeningly low (209, 167, & 195) that they will make you want to voluntarily sign up for a timeshare. The passing options in Seattle will suffer and you will too if you disregard pure logic, sear your conscience, and damage your soul forever drafting Geno.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Davis Mills","HOU","6","31","$1","212.4","4.7","8","The General surprised most of the NFL (and fantasy managers) with competent QB play for arguably one of the worst teams. In his 11 starts, Mills had four weeks as a top-12 QB against four tough defenses: NE, LAR, LAC & TEN. He also surprisingly had one of the better deep balls with the highest Passer Rating (123.5) on 20+ yard attempts among all QBs.  The weapons (especially at RB) are certainly less than stellar but Mills could have some weeks as a streamer. Just don’t expect the Texans to win more than 4-5 games this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Deshaun Watson","CLE","9","32","$1","175.3","7.5","9","Watson is a complete question mark heading into the season. Apart from landing on a brand new team, his legal troubles could suspend him for a lengthy amount of time. We haven't seen him take an NFL snap in a couple of years but he was the QB5 three consecutive seasons in a row from 2018 to 2020. You know his upside as a runner averaging 450+ rushing yards and five rushing TDs per season. In terms of drafting, until we know how his legal situation plays out, Watson is off draft boards as sportsbooks currently aren't laying a line for Cleveland's win total.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenny Pickett","PIT","9","33","$1","126.1","7.5","9","This is playing out like a true Hallmark story. The hometown QB stays home to rescue the pro team from the flaming hot garbage their aging QB put out there last year. Yes, Ben Roethlisberger looked like a washed-up guy in 2021 and now it seems Pickett will eventually take over the reins as Mike Tomlin's preferred starting QB. Pickett had monster production in his last year at Pitt with 42 passing TDs to only seven INTs. Mitchell Trubisky likely will begin the season as the veteran bridge QB so Pickett should be best left on your waiver wire to start the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jacoby Brissett","CLE","9","34","$1","109.1","4.5","9","Brissett somehow finds himself in a position to be the likely starting QB for the Browns in the midst of the Deshaun Watson legal drama playing out. He technically started five games for Miami last year while Tua Tagovailoa was hurt but they were putrid performances, to say the least. He's benefitted from being at the right place at the right time with Andrew Luck's injury (2017), Luck's retirement (2019), and now Watson's situation. Who knows how many games he will start but he is firmly off the redraft radar with a career completion rate (60%) and TD rate (3.2) that are vomit-worthy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
