"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Robert Tonyan","GB","14","24","$1","95.5","6.3","6","Bobby Tonyan's 2021 season came to an early end thanks to a torn ACL halfway through the season. Assuming he can return to full health, Tonyan has a chance to return fantasy value if he can carve out a red zone role amongst this lackluster group of pass catchers with Davante Adams now in Las Vegas. Even so, he's a difficult guy to project given that he only has one year of production in the NFL and that came thanks to an insane outlier TD season. We're not drafting Tonyan in standard 12-team leagues but he's a guy who could enter streaming territory throughout the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Austin Hooper","TEN","6","25","$1","93.9","3.5","6","It may seem enticing to talk yourself into Austin Hooper in Tennessee due to the fact that they vacate 67% of their targets from a season ago, but don't fall into that trap. Remember when Trey Burton or Vance McDonald or Hayden Hurst were supposed to be the next breakout TE because their team vacated a ton of targets? At this point, we sort of know what Hooper is in fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Hayden Hurst","CIN","10","26","$1","93.0","5.0","6","Hurst's fantasy value has been in free fall over the last two years, but now he lands in Cincy where we saw C.J. Uzomah have some usable fantasy weeks. We can probably expect some of the same from Hayden, but good luck figuring out when those weeks are going to be while he competes with Ja'Marr Chase, Tee Higgins, and Tyler Boyd for targets.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Brevin Jordan","HOU","6","27","$1","90.3","4.3","6","Last season, Jordan Akins led all Houston TEs in routes run, receptions, and yards. Granted, that was only 214 yards, but still, Akins is gone. Maybe Jordan can take over as the leading pass-catching TE for Davis Mills. The 2nd year player has a solid athletic profile and the window for opportunity at least is there. Will it matter for fantasy? Probably not, but it's a situation to monitor throughout the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kyle Rudolph","TB","11","28","$1","79.5","4.3","7","The Red-zone Reindeer now finds himself in a new habitat albeit with a QB not nearly as jolly or generous for fantasy options as his previous home. Rudolph is going to siphon away end-zone looks from Kenny Golladay and Evan Engram and literally ruin everything for fantasy. He’s the kid at the lunch table bent on smashing your food that no-one likes… but he keeps sitting with you.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Adam Trautman","NO","14","29","$1","77.9","4.7","7","Taysom Hill is reportedly being converted to a full-time TE, Michael Thomas is back and the team added Jarvis Landry via free agency and drafted Chris Olave in Round 1 of the NFL Draft. The Trautman dream was fun while it lasted.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Daniel Bellinger","NYG","9","30","$1","71.6","3.5","7","Who you may ask? Bellinger was a 4th round pick by the Giants with minimal production in college at San Diego State. However, he is huge (6'6"") and finds himself on a depth chart desperate for someone to be labeled as a starter. He could be streamable at some point if new HC Brian Daboll's offense clicks and Daniel Jones is somewhat competent. But for now, he's a name to monitor.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tommy Tremble","CAR","13","31","$1","70.6","6.5","7","If you came here for something positive to say about Tommy Tremble from a fantasy perspective, you probably came to the wrong place. We're sure Tommy is a great guy, but for fantasy, he'll likely show up in the box scores every once in a while playing on this Panthers offense where the targets will be dominated by DJ Moore and Christian McCaffrey.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cameron Brate","TB","11","32","$1","69.4","6.7","8","As it stands right now, Cameron Brate looks like a possible late-round target in fantasy after Rob Gronkowski announced his retirement. Being connected with Tom Brady is a beautiful thing but keep in mind in five total games without Gronk in 2021, Brate had seven combined receptions. He's a TD-or-bust kind of guy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jonnu Smith","NE","10","33","$1","67.3","5.7","8","Jonnu scored a huge free agent contract last year with New England, but that didn't translate to fantasy success. He saw just 45 targets in a run-heavy scheme. Pour one out for ya boy Jonnu's fantasy upside.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"C.J. Uzomah","NYJ","10","34","$1","65.2","3.7","8","Uzomah had a mini-breakout last year with the Bengals en route to the Super Bowl, and that was kinda fun. But now he goes from Joe Burrow and the Bengals offense to a QB who wishes he was as cool as Joey B in Zach Wilson. Despite the team investing in Uzomah in free agency, we'd be shocked if he's fantasy relevant this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Ricky Seals-Jones","NYG","9","35","$1","64.3","6.3","8","Seals-Jones is now in New York as part of an ambiguous TE depth chart. We know Brian Daboll wants to throw the ball, but who is going to be the pass-catching TE for the G-men, and will it even matter? He's a name to monitor throughout the season as a potential streaming candidate. For the sake of our show and the entertainment we get out of Jason's seal noise, let's hope he earns some playing time.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Greg Dulcich","DEN","9","36","$1","63.4","3.7","8","Greg D! The mustached-man received day-2 draft capital and was one of the most productive Power 5 TEs in the country over the last two years, averaging 31.3% of his team’s receiving yards in 18 games. He now lands in a potentially high-powered offense led by Russell Wilson. While Albert Okwuegbunam is still on the roster, the camp buzz has placed this starting TE competition as up-in-the-air. He likely will have little fantasy relevance as a rookie but keep the name in mind... and the mustache.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Trey McBride","ARI","13","37","$1","54.3","6.0","8","He was a productive player in college with 90+ receptions at Colorado State last year. The Cardinals took him off the board in the 2nd round as the clear TE1 in this class. With Zach Ertz back, McBride probably won't be heard from during his rookie season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Will Dissly","SEA","11","38","$1","44.4","6.0","8","Call us crazy, but we're not super into a TE who saw 26 targets a year ago whose now competing with pass catcher Noah Fant for playing time on an offense without Russell Wilson. For the sake of the show and the nickname, we'd love it if Big Montana came back.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jelani Woods","IND","14","39","$1","38.3","7.0","8","Rookie TEs not named Kyle Pitts typically don't do much by way of fantasy production, especially rookie TEs selected in the 3rd round of the NFL Draft. He's not on our radar in redraft leagues, but he's a fun name to monitor for dynasty leagues.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
