"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"David Montgomery","CHI","14","17","$31","203.2","3.7","4","Montgomery once again was a league-winner in fantasy as the RB2 from Week 13 through the fantasy playoffs. It's now back-to-back years that he's come on in the second half. The Bears seem willing to make him the only show in town at RB. His usage was elite seeing 86 percent of the RB rush attempts and 74 percent of the RB targets from Week 9 on. While the offense in Chicago projects as one of the least efficient in the league, his pace when he returned from injury last year was 374 opportunities. You can't find that type of workload too often this late in your draft. He's a perfect RB2 for your roster.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Josh Jacobs","LV","6","18","$30","202.4","4.3","5","Jacobs gave fantasy managers about as solid an RB2 season as you could ask for. He saw the 5th most RB receptions after the Raiders finally came to their senses and nine rushing TDs on the ground. RB15 is nothing to shy away from but realize Kenyan Drake also missed half the season with an ankle injury. After the new coaching regime and management did not exercise his 5th-year option, Jacobs could be in his last year in the silver and black. Over the last three years, only Dalvin Cook has more red-zone rushing attempts than Jacobs so you're banking on 8+ rushing TDs on the ground. Consider him in the RB15-20 range which is a valuable asset in fantasy but the ceiling likely isn't much higher.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Breece Hall","NYJ","10","19","$28","196.0","4.7","5","The Jets traded up to get Hall in the 2nd round and the only competition in front of him is 5'8"" Michael Carter. Hall likely won't dominate all three downs but he has everything you want in his production profile. Overtaking the diminutive Carter on 3rd down is only a matter of time. We've seen at least two rookie RBs finish inside the top-24 each of the last seven years and Hall has the best shot to be part of that group in 2022. Consider him an RB2 with upside although the Jets offense will need to prove itself more competent than 28th in points per game for him to hit a ceiling outcome.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cordarrelle Patterson","ATL","14","20","$27","191.4","3.7","5","If you saw Patterson's 2021 season coming, take a bow. He came out of nowhere as the lone Atlanta Falcons player with weekly upside for fantasy, From Weeks 2-14, he was the RB7 in total points and RB9 in fantasy points per game. However, he ran out of gas in the final month (RB56, 31, 37, 70) which raises some questions heading into 2022. He scored more points as a receiver than as a rusher making him an odd RB to project moving forward. The only competition in the backfield is journeyman Damien Williams and 5th-round rookie Tyler Allgeier. Approach with caution knowing you could have your draft pick evaporate into thin air.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Antonio Gibson","WAS","14","21","$27","190.9","5.0","5","From Weeks 1-8, he was the RB19 in total points and the RB29 averaging only 10.9 fantasy points per game. However, the second half was a different story. From Week 10 on, he was the RB4. Some of this success was due to the absence of J.D. McKissic, who was concussed in Week 12 and did not return for the rest of the season. From that point on, Gibson saw five targets per game. Overall, he still tied with Joe Mixon for 2nd most 1st downs among all RBs. But the TDs were the major story. In 2020, he had a TD every 15 carries; in 2021, that regressed to every 37 carries. His floor seems high but the dreams of him being a top-5 guy are likely over. He's more of an RB2 moving forward when you also add in the wildcard that is Carson Wentz.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Travis Etienne Jr.","JAX","11","22","$25","187.4","6.0","5","Etienne's Lisfranc injury was just the beginning of a forgettable season in Jacksonville. But now the slate can be wiped clean and all Urban Meyer-related thoughts can be cast aside. Remember this team spent 1st round draft capital on him and everything in his production and athletic profile states he could see 60+ receptions right away. He's settling in nicely as a 5th-round RB with upside to finish inside the top-15 if things break right.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Cam Akers","LAR","7","23","$24","183.6","6.7","5","Akers' Achilles injury and his recovery were one of the major fantasy storylines of 2022 especially after returning in the NFL playoffs. While the Rams win the Super Bowl, Akers was thrust into the lead role with mixed reviews. He averaged a porous 3.3 yards per touch and some of the burst we saw in his rookie year looked lost. With more than a year removed from the injury, Akers is getting hyped as a potential RB1 in fantasy this year. We aren't as bullish on his prospects tempering our expectations more in the low-end RB2 range. While 15+ touches a game seems fair to project, the efficiency might leave much to be desired.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Chase Edmonds","MIA","11","24","$24","181.0","5.0","5","As the Cardinals season went, so went Edmonds. Through Week 8, the Cardinals were 7-1 as Edmonds was the RB20 averaging 14 opportunities per game including a healthy 4.6 targets. However, he was injured the next week and didn't return until Week 15. Now in Miami after signing one of the first free-agent deals of the off-season, he'll be in the mix with Raheem Mostert, Sony Michel, and Myles Gaskin. Edmonds profiles as the best fantasy option of the bunch given his receiving abilities but it's hard to envision more than FLEX territory for him.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"AJ Dillon","GB","14","25","$24","180.1","3.3","5","Dillon started slowly behind Aaron Jones before becoming a viable RB2 the rest of the season. In Week 10, he was the RB1 on the week against Seattle showcasing what kind of potential he has in fantasy. He saw the same number of goal-line carries as Jones and worked in the passing game way more than you might have realized with 34 receptions, the same amount as Dalvin Cook. Dillon's weekly floor might be scary but the Packers might have to send both RBs out on the field together more often with a lack of dependable options in the passing game. Consider him an RB2 with massive upside with the added intimidation he brings to your squad with the best quads in the league.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Clyde Edwards-Helaire","KC","8","26","$23","179.1","5.0","5","We've come a long way since CEH was a top-5 redraft pick his rookie year. But it felt like it was the same refrain last year with some early excitement after two 100+ rushing yard games before suffering a knee injury and going on injured reserve. While he returned in Week 11, it always felt like Darrel Williams and Jerick McKinnon were the more trusted backs. Kansas City has the 2nd most vacated targets in the NFL where CEH could certainly benefit to see an uptick in passing work. He's a value but expecting anything more than low-end RB2 production might be wishful thinking.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rashaad Penny","SEA","11","27","$23","178.7","6.3","5","For the first 12 weeks of the season, you probably forgot Penny was even in the league with 43 total rush yards as the (checks notes... scrolls... hold on... wait for it...) RB119. Heck, his brother Elijhaa Penny had more fantasy points as a full-back. But boy did things change... He ended up leading the league in yards per carry (6.3) and running for 700+ in his final six games. It was the stuff of fantasy legends and the Seahawks decided to bring him back on a one-year deal. He's a bruiser so his running style might not hold up over the course of a season. With Kenneth Walker III selected in the 2nd round, you're not expecting the same magic from Penny for long. But maybe he's the type of first-half RB2 your team needs at an affordable draft price.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Elijah Mitchell","SF","9","28","$22","174.0","4.7","5","Mitchell was one of our favorite dynasty sleepers last off-season but there was no way we'd imagine he would tie for the 2nd most 100-yard rushing games behind Jonathan Taylor. The Missle supplanted fellow rookie Trey Sermon very quickly seeing the most elite usage of any RB we've seen in the Kyle Shanahan system in San Francisco. From Week 10 through the NFL playoffs, he averaged 26 opportunities per game. However, there are some red flags as he missed three separate stints of the season due to injury woes. The 49ers also surprisingly selected RB Tyrion Davis-Price in the 3rd round to add to any already nauseous backfield rotation. He comes with a lot of risk but the lead dog in the 49ers backfield can be a valuable commodity. He's more of a low-end RB2 knowing Trey Lance brings the entire offense into question.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kareem Hunt","CLE","9","29","$22","173.6","4.3","5","You might've forgotten but Hunt started out the year on fire scoring five TDs in his first five games. Before going down with an injury in Week 6, he averaged 87 total yards per game as the RB8 in fantasy. He tried to return from his ankle injury but it was a lost season for Hunt and the rest of the Browns. A lot has changed since with Deshaun Watson in town and now Hunt enters the final year of his contract. He'll always play second-fiddle to Nick Chubb in terms of usage. If there is another area of concern, it's the fact that during his last three full years as the Texans' starting QB, Watson targeted the RB position 14.7 percent of the time, dead last in the NFL. He'll need to overcome Chubb and Watson to truly be a fantasy force once again. He's a risk/reward RB in the 7th round.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Miles Sanders","PHI","7","30","$20","169.6","4.8","6","Sanders somehow failed to score one of the Eagles' league-leading 25 rushing TDs despite leading the team with 137 carries. For context, he's one of five different RBs with zero rushing TDs on that many attempts since 2010, the most recent Frank Gore. Not exactly great company. But we love this as a bounce-back spot on an offense that seems to be trending upwards. He ran for 5.5 yards per carry last season including two monster games (Week 13 & 15) where he simply didn't get in the end-zone. Fellow RB Boston Scott sees more goal-line work than you want and Kenneth Gainwell will mix in too. Still, Sanders can return RB2 value even with a league average TD amount (6+) based on his usage.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"J.K. Dobbins","BAL","10","31","$18","165.4","7.2","6","Dobbins will be a full year removed from his ACL tear once the season starts. As a rookie, nine percent of Dobbins’ rush attempts were 15+ Yards, the highest in the NFL. His insane TD rate might come down but the explosive runs were always part of his profile coming into the league. This offense should revert to being top-5 in rush rate in 2022 making Dobbins's current 4th round ADP a relative steal. He can add 25-30 receptions giving him a higher floor than most other backs in that range. It shouldn't shock you if he ends up as an RB1 this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Damien Harris","NE","10","32","$19","164.3","5.3","6","Harris broke out in 2021 with 15 rushing TDs as one of the better fantasy steals finishing at RB13. That end-of-season finish might be a bit inflated knowing there were so many injuries to other high-end RBs. Nevertheless, he feasted against AFC East opponents averaging 87 rushing yards and scoring eight times on the ground. Expect the elite TD total to come down with Rhamondre Stevenson taking over more of the workload and James White back in the mix. He's a gamble this year as an RB2 and one we'd rather not take.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tony Pollard","DAL","9","33","$16","154.6","4.3","7","Tony P gets no respect. Watch Cowboys games from last year and you'll see he was clearly the more electric player on the field compared to Ezekiel Elliott. He had over 1,000 total yards but still averaged just 35 percent of the snaps. Perhaps he will always be a fantasy tease, but it feels like we're ringing the same chorus we've sung the last two years: buy your lottery ticket but know you likely will be getting FLEX value at best as Zeke won't go away.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Devin Singletary","BUF","7","34","$15","153.5","5.8","7","It took three years but down the stretch last year, the Bills fully committed to Singletary after seeing with their eyeballs that Zack Moss is not good at this game called football. From Week 15 through the playoffs, Singletary averaged 20+ touches per game including four straight RB1 finishes to finish the year. We love the Buffalo offense and he should start the year as the team's lead back but there's a major risk that last year's end-of-season explosion is the best we'll ever see from him.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Melvin Gordon III","DEN","9","35","$14","148.7","4.0","7","He's back! The Broncos waited a while but eventually re-signed the veteran RB despite the groans of fantasy managers. Gordon surprisingly hung around all year as a capable RB2 on your roster finishing as the RB18, one spot behind backfield mate Javonte Williams. They had the same exact carries (203) and although things are trending for the talented Williams to take over, Gordon won't go away. He's a TD machine averaging double-digit TDs for the last six seasons and Russell Wilson should transform this offense to be even better in 2022. Don't forget about Gordon as a valuable depth RB for your roster in the later rounds.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rhamondre Stevenson","NE","10","36","$11","139.4","5.3","7","Yes, he's a big boy but Stevenson impressed in his first year. He's one of six rookie RBs since 2013 with multiple games of 100+ rushing yards & two TDs. The upside was there and he looked much more fluid as a pass-catcher than most realize. Damien Harris will still be the lead back but if Stevenson supplants at some point, it shouldn't be surprising. In the double-digit rounds, he's a solid add for teams looking for upside at the RB position.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenneth Walker III","SEA","11","37","$8","128.5","5.3","7","Instant RB production in this year's rookie draft came down to Breece Hall and Walker. Luckily, the Michigan State RB landed with the perfect team and solid draft capital. He could be trapped as the compliment to Rashaad Penny this year, but Walker will own the Seattle backfield soon enough. His offense in college wasn't predicated on throwing to the RB but Walker is more than capable as a receiver.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Darrell Henderson Jr.","LAR","7","38","$6","122.5","4.7","8","For the first half of 2021, Henderson looked like one of the biggest steals in fantasy. After Cam Akers went down in training camp, Henderson was thrust into the lead role and responded as the RB11 through the first eight weeks of the season averaging a robust 19 opportunities per game. He was dependable... until the wheels fell off as the RB65 the rest of the way. He battled injuries and Sony Michel became the preferred back until Akers miraculously returned in the playoffs. He's now just an insurance back, albeit on a team we just saw win the Super Bowl.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jamaal Williams","DET","6","39","$6","122.0","4.0","8","He’s a depth piece behind D'Andre Swift who unfortunately former OC Anthony Lynn utilized way too much. JWilly saw 14 opportunities per game that translated to FLEX territory only four times on the year. He's an insurance back with only a window of hope if Swift were to go down.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"J.D. McKissic","WAS","14","40","$4","115.5","3.7","9","Smooches was the thorn in the side of Antonio Gibson managers like a gnat never seeming to want to go away. Looking at his game logs is like a game of ""red-light/green-light"" as he displayed very little week-to-week consistency. Still, before missing the rest of the season due to a concussion, McKissic averaged 4.8 targets per game and was one pace for nearly 1,000 total yards. He was re-signed and will continue to siphon 3rd down duties from Gibson. He's a guy worth sticking on your bench in PPR leagues but know rookie Brian Robinson Jr. will have some say in the backfield rotation as well.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Michael Carter","NYJ","10","41","$3","113.3","4.7","9","Carter received some hype before the 2021 season with the Jets backfield looking like a complete fantasy quagmire. It took him a minute to get into gear but he had some great moments including a monster RB1 overall performance against the Bengals in Week 8 going for 172 total yards including 14 targets. Due to his diminutive frame, his body couldn't hold up missing three games down the stretch. With the drafting of Breece Hall in the early 2nd round, any notions of Carter being an elite fantasy option are out the window. Put him in the Nyheim Hines category of RBs for fantasy moving forward.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Darrel Williams","ARI","13","42","$3","112.1","4.3","9","Williams signed a one-year deal with the Cardinals to backup James Conner. He quietly finished as the RB22 last year filling in as a capable goal-line back in Kansas City along with adding 47 receptions. If Conner were to go down, Williams would be a hot commodity in the waiver wire streets. Consider him an insurance back not worth drafting but someone you will want to pounce on if the opportunity presents itself.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Rachaad White","TB","11","43","$3","111.9","6.0","9","White lands with the GOAT but we've also been down this road with the ghost of Ke'Shawn Vaughn. White was the best pass-catching RB in this class and should have a leg up on the aforementioned White and Gio Bernard for third-down duties behind Leonard Fournette. In redraft, he's worth a flier in the later rounds in hopes TB12 likes him. Maybe they grab a smoothie together and see where things go?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Dameon Pierce","HOU","6","44","$3","110.7","5.3","9","Pierce is getting a lot of steam this off-season as a potential rookie sleeper based on one thing: the landing spot. His 4th-round draft capital is nothing to write home about but the competition in Houston is a hodgepodge of has-beens named Marlon Mack, Rex Burkhead, and Dare Ogunbowale. Not exactly Murderer's Row, Pierce is far from a guaranteed fantasy producer on arguably the worst team in the NFL. He's worth a look in redraft at the end of your bench but the Texans could win 3 games this year... How many TDs are up for grabs?","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mark Ingram II","NO","14","45","$2","109.0","3.7","9","If your league gives you points for hype man, Ingram is the 1.01. Gone are the days you could count on Ingram for double-digit TDs but after being traded (rescued) from Houston, he revived his fantasy pulse back in New Orleans. In two games replacing an injured Alvin Kamara, the Saints treated him as a workhorse with 21 & 24 opportunities. If Kamara misses games due to suspension, Ingram looks like the next man up on the depth chart.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenneth Gainwell","PHI","7","46","$1","105.7","6.0","9","Gainwell was among the weirdest players to project week-to-week in the NFL. His game logs might state that he had three separate weeks as an RB1, as many as Damien Harris or Javonte Williams. But the lulls in-between them made him unbearable to even roster. He's a fun gadget player that has a wide range of outcomes in 2021. He could compete with Miles Sanders for touches or continue as the RB3 on the depth chart. He should start out the year on the waiver wire but could make some noise. Perhaps it is time for Gainwell to take up the Kenny G moniker.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Nyheim Hines","IND","14","47","$1","103.6","3.7","9","Hines had the exact opposite season as teammate Jonathan Taylor. He started hot and then vanished into oblivion. After Week 3, he averaged less than five touches per game and had only two games of more than 35 total yards. But the Frank Reich puff pieces this off-season have highlighted Hines as a more integral part of the offense with Matt Ryan under center as opposed to the one-year failed experiment known as Carson Wentz. Hines is still only a real option in PPR leagues out the gate as a late -round flier hoping he catches lightning in a bottle again.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Gus Edwards","BAL","10","48","$1","102.0","7.3","9","Sadly the Gus Bus broke down before the beginning of the season as the Ravens experienced one of the worst injury-plagued seasons we've seen. Edwards tag-teamed with JK Dobbins in 2020 to the tune of averaging 5.3 yards per carry in the second half and finishing as an RB2 in half his games played. At this point of his career, we can't really count on him to be much more than an insurance back. 30 percent of the backfield work is likely the most you'll see returning from injury. He's not on the redraft radar to start the year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Isaiah Spiller","LAC","8","49","$1","101.0","5.0","9","Spiller tumbled from a 1st round rookie in early rookie mock drafts to an afterthought in the NFL Draft.  Yes, he's firmly behind Austin Ekeler but he should be able to beat out the dubious duo of Joshua Kelley & Larry Rountree III.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
