,name,team,rank,$,points,risk,tier,outlook,position,points_per_dollar,risk_adjusted_points_per_dollar
11,Matthew Stafford,LAR,12,15,300.1,0.14444444444444443,5,"Stafford’s top-5 finish feels a bit flawed when you consider some of the major flops (MIN & BAL) he had towards the end of the year for fantasy managers. Nevertheless, he led the league in games of 3+ TD passes (9) and his ten top-12 performances were the same as Aaron Rodgers. The frustrating part was the turnovers. He joins Drew Brees (2012) as the only QBs in NFL history to throw for 40+ TDs & lead the league in INTs. He also led the league with four pick-sixes. Stafford will likely be drafted among the top-8 QBs for 2022; with Cooper Kupp in tow and Allen Robinson’s arrival, he should have more options inside the red zone.",QB,20.007,2.89
12,Kirk Cousins,MIN,13,14,299.9,0.1888888888888889,5,"Cousins is one of the steadiest fantasy QBs out there. It's not flashy but over the past three years, he has a 6.2 percent TD rate, the fifth-highest in the NFL. In 2021, he had nine QB1 performances and one of the better road splits in football averaging 23 fantasy points per contest. Jason is especially bullish on the Vikings' passing game this year making Cousins one of the preferred late-round QBs to open the season.",QB,21.421,4.046
13,Aaron Rodgers,GB,14,12,293.3,0.36666666666666664,5,"The back-to-back league MVP finished the year on a roll. From Weeks 11-17, here were his fantasy finishes: QB2, 2, bye, 3, 6, 8, 9. Not bad when you consider how the Packers started the year getting annihilated against the Saints in Week 1. Two TDs were in the bank almost every single week as Rodgers had two or more passing TDs in 15 of his 17 starts. There are obviously lots of questions heading in 2022 with Davante Adams’ departure. His floor is high but a top-3 finish likely isn’t in the range of outcomes given his lack of rushing upside at this stage of his career.",QB,24.442,8.962
14,Derek Carr,LV,15,6,274.0,0.2222222222222222,5,"You have to feel happy for Derek Carr getting a massive extension and reuniting with his best bud Davante Adams. No word yet on how close they are and if breakfast is in their summer plans. It’s a definite boom for Carr’s upside but it must be tempered knowing he’s never finished a season as a top-12 fantasy QB. Even with 4,800+ passing yards and finishing 2nd among all QBs in 20+ yard pass plays last season, his lack of rushing yards ultimately hurts him from hanging with the elites for fantasy. The Raiders also were quite fortunate in 2021 going 10-7 despite having a win expectation of just 6.9. In the ultra-competitive AFC West, things only might get tougher in 2022. Carr is a QB2 that will have weeks against sub-par opponents.",QB,45.667,10.148
15,Daniel Jones,NYG,16,2,261.3,0.7444444444444445,6,"It feels like we’ve been here before as this now marks the 4th year of your precious life where Daniel Jones is the starting QB for the New York Giants. I know, your brain won’t let you forget nor can you unsee what has transpired on the football field as his teams have gone a combined 12-25 thus far. It seems like we know what he is: wildly erratic with the occasional boom games thanks to his sneaky rushing floor averaging 26.3 rushing yards per game. More than anything, we know that former Giants GM Dave Gettleman reached for Jones at 6th overall in the 2019 draft and the Giants look like they’re moving on not picking up his 5th-year option. Dependability isn’t one of his key traits; rather, it’s volatility and fumbling.",QB,130.65,97.262
16,Tua Tagovailoa,MIA,17,2,259.7,0.4444444444444444,6,"This is his time… at least Miami fans are saying that. The Dolphins front office has done everything imaginable to equip Tua bringing in an offensive-minded head coach, trading for Tyreek Hill, and signing LT Terron Armstead to bolster the league’s worst offensive line. Unfortunately, we’ve seen relatively few true boom games from Tua with only two top-8 weekly finishes in his first two years in the league. While the Dolphins had the 8th most pass attempts in the NFL, the lack of efficiency and averaging only 204 passing yards per game is not going to cut it. His career TD rate of 4.1 percent will need to climb dramatically for him to finish inside the top-12 at the position.",QB,129.85,57.711
17,Trevor Lawrence,JAX,18,1,258.5,0.5444444444444445,6,"How bad was it in Jacksonville? Lawrence's 12 passing TDs & 214.2 passing yards per game were the lowest ever for any QB with 600+ passing attempts in a season.  Among rookie QBs to start at least 12 games in a season, his 2% TD rate is the lowest ever. But it's actually quite sane to point at Urban Meyer as the pile of dog poo and blame the circle of flies hovering around Lawrence's fantasy outlook along with it. The Jaguars are pressing reset adding WR Christian Kirk to a unit that underwhelmed in 2021. Lawrence can only go up from here, right? A top-12 season is well within the realm of possibilities but top-15 would be a step in the right direction.",QB,258.5,140.739
18,Mac Jones,NE,19,1,254.6,0.2222222222222222,7,"Jones exceeded almost everyone’s expectations in 2021 leading the Patriots to a 10-7 record and a playoff appearance. He finished 8th in completion percentage at 67.6, the 2nd highest number for a rookie all-time behind only Dak Prescott (67.7). For fantasy, it’s kind of like Bill Belichick treats him like a Honda Civic. Dependable? Yes. Are you ever going to win a street race? No, unless it’s totally tricked out. The Patriots' game plan is winning with ball control and defense as Jones averaged only 223.6 passing yards per game finishing as a QB1 only five times. Four of the five came at home against bottom-16 defenses so if you do want to stream the 2nd year QB, make sure it’s a matchup-based decision.",QB,254.6,56.578
19,Matt Ryan,IND,20,1,254.2,0.1888888888888889,7,"Ryan gets a fresh start in Indianapolis after being Atlanta's franchise QB since 2008, way back when George Dubbya was president. The Colts are currently divisional favorites and after stumbling down the stretch with Carson Wentz last year, Ryan hopefully can return better than replacement level play. He's a long way away from being the 4,500+ yardage machine he was for years in Atlanta. Jonathan Taylor is the center of this offense and while Ryan will have his moments, the lack of proven playmakers outside of Michael Pittman Jr. puts him in mid-QB2 territory rather than a viable fantasy starter out the gate.",QB,254.2,48.016
20,Justin Fields,CHI,21,1,251.3,0.7555555555555555,7,"There are major mixed opinions amongst the Footballers about Fields' 2022 outlook. The upside? He is one of six rookie QBs since 2010 to average 35 rushing yards per game and we saw glimpses of his greatness including a monster game in Week 8 versus San Francisco. The fears are this Bears team could be among the worst in the NFL and if you can name more than two pass catchers for this team, congratulations. The receivers apart from Darnell Mooney are below replacement level and the Bears did little this off-season to outfit Fields for success. You either gamble on his talent as a late-round QB based on what you saw briefly with your eyeballs or stay far away in drafts based on what your heart knows is true about these 2022 Chicago Bears. Whispers: it is not good.",QB,251.3,189.871
21,Jameis Winston,NO,22,1,247.9,0.4444444444444444,7,The Saints were a respectable 5-2 with Jameis before he went down to a season-ending knee injury. He likely won't be fully ready at the start of the season but the former No. 1 pick is still only 28 years old. We’re past the Tampa Bay days of Jameis wildly throwing TDs & INTs like his life depended on it. This version seems to have his foot hovering over the break as the Saints' defense is one of the better units in the league.,QB,247.9,110.178
22,Ryan Tannehill,TEN,23,1,246.8,0.5555555555555556,7,"After receiving a massive contract extension the previous offseason, Tannehill and the Titans fought their way through major team injuries across the board to finish as the AFC's No. 1 seed. For fantasy, Tannehill was basically not startable despite finishing as QB12. His TD rate returned back to earth at a pedestrian 4 percent after being at 6.9 the previous three seasons. With A.J. Brown gone, it's hard envisioning Tannehill being able to repeat his previous peak fantasy powers again in 2022. He's not a volume passer and unless you think Treylon Burks is already elite, Tannehill is best kept as a QB2. He will have streaming weeks but this offense functions through Derrick Henry.",QB,246.8,137.111
23,Carson Wentz,WAS,24,1,244.1,0.5555555555555556,7,"Wentz’s season was a complete roller coaster with the Colts starting out 1-4 before the team caught fire. From Weeks 5-12, he was the QB7 and it seemed like he fixed some of his wayward decisions. He lowered his INT rate to 1.4% but a career low 210 passing yards per game. After their embarrassing Week 18 defeat to the Jaguars knocked them out of the playoffs, GM Chris Ballard publicly shared that the team was done with Wentz and his antics. In Washington, Wentz is now on his 3rd life with a new cast of pass-catchers. One drive he can look like an All-Pro and the next you’re wondering if maybe he knows which sport he’s playing out there. There is no chance you can have confidence in Wentz’s week-to-week outlook for fantasy but the fact Washington believes he’s an upgrade over what they trotted out there last year is at least somewhat encouraging. I think.",QB,244.1,135.611
24,Mitch Trubisky,PIT,25,1,243.8,0.7,7,Pittsburgh will name their starting QB but the time is ticking for Trubisky to eventually be supplanted by rookie Kenny Pickett at some point in the year. Maybe it's best to forget the fact Chicago once traded up to No. 2 overall to pick this guy... ahead of Patrick Mahomes? Sigh.,QB,243.8,170.66
25,Jared Goff,DET,26,1,241.2,0.25555555555555554,8,Goff and the Lions played hard for Dan Campbell last year. The problem is grit and biting kneecaps doesn't exactly translate to fantasy production.  He had three weeks inside the top-12 at the position and finished with his lowest yards per attempt (6.8) of his career. The arrival of rookie Jameson Williams gives Lions fans some optimism for exciting down-the-field plays but Goff's main targets will be Amon-Ra St. Brown and T.J. Hockenson over the middle. The Lions could surprise this year but Goff is best left off fantasy rosters.,QB,241.2,61.64
26,Zach Wilson,NYJ,27,1,239.5,0.6333333333333333,8,"Wilson is getting a pass for his otherwise rough rookie year. He completed just 55(!) percent of his passes and led all QBs in sacks where the “QB was responsible”, not the offensive line. At the end of the year, he did show some flashes of brilliance including some rushing prowess which definitely entices fantasy managers. The Jets had a great NFL draft including taking Garrett Wilson at 10th overall to pair with Elijah Moore as one of the best young pass-catching duos in the NFL. Wilson has the tools but there are still major questions about whether he can take the leap for fantasy and be consistent enough to count on. Streamer? Yes. Will he turn into a weekly starter? Likely no.",QB,239.5,151.683
27,Baker Mayfield,CAR,28,1,231.9,0.5222222222222223,8,"From No. 1 overall pick with Cleveland commercials flooding the TV screen to being shipped out of town for a 5th-round pick, Mayfield's career has been a wild ride. In Carolina, he has one more shot to cash in on his potential heading into a contract year. He's an obvious upgrade over Sam Darnold on an offense that has some solid offensive weapons that just need more competent play. The Panthers ranked 29th in points per game, 31st in passing TDs, and dead last in yards per play. He's off the redraft radar to start the year although CAR playing CLE in Week 1 is enticing for a revenge game narrative.",QB,231.9,121.103
28,Marcus Mariota,ATL,29,1,230.6,0.7444444444444445,8,"Mariota signed a two-year deal with Atlanta to be a bridge QB to potentially Desmond Ridder, whom Atlanta took in the 3rd round. Mariota has a ton of familiarity with Arthur Smith's system and could have some sneaky SuperFlex appeal if they let him run 5+ times a game. Nevertheless, Atlanta is arguably the worst team in the league and at this stage in his career, Mariota is a journeyman with a below-average arm.",QB,230.6,171.669
29,Geno Smith,SEA,30,1,227.6,0.7777777777777778,8,"As we head towards the season, Geno Smith looks like he's taken the lead over Drew ""Dance With Me"" Lock. It's ugly in Seattle, we know. Geno was competent from a game manager standpoint last year; but for fantasy, you might as well prepare your body for full-on diarrhea. In three starts, he averaged just 26 pass attempts per game with passing yard totals so maddeningly low (209, 167, & 195) that they will make you want to voluntarily sign up for a timeshare. The passing options in Seattle will suffer and you will too if you disregard pure logic, sear your conscience, and damage your soul forever drafting Geno.",QB,227.6,177.022
30,Davis Mills,HOU,31,1,212.4,0.41111111111111115,8,"The General surprised most of the NFL (and fantasy managers) with competent QB play for arguably one of the worst teams. In his 11 starts, Mills had four weeks as a top-12 QB against four tough defenses: NE, LAR, LAC & TEN. He also surprisingly had one of the better deep balls with the highest Passer Rating (123.5) on 20+ yard attempts among all QBs.  The weapons (especially at RB) are certainly less than stellar but Mills could have some weeks as a streamer. Just don’t expect the Texans to win more than 4-5 games this year.",QB,212.4,87.32
31,Deshaun Watson,CLE,32,1,175.3,0.7222222222222222,9,"Watson is a complete question mark heading into the season. Apart from landing on a brand new team, his legal troubles could suspend him for a lengthy amount of time. We haven't seen him take an NFL snap in a couple of years but he was the QB5 three consecutive seasons in a row from 2018 to 2020. You know his upside as a runner averaging 450+ rushing yards and five rushing TDs per season. In terms of drafting, until we know how his legal situation plays out, Watson is off draft boards as sportsbooks currently aren't laying a line for Cleveland's win total.",QB,175.3,126.606
32,Kenny Pickett,PIT,33,1,126.1,0.7222222222222222,9,"This is playing out like a true Hallmark story. The hometown QB stays home to rescue the pro team from the flaming hot garbage their aging QB put out there last year. Yes, Ben Roethlisberger looked like a washed-up guy in 2021 and now it seems Pickett will eventually take over the reins as Mike Tomlin's preferred starting QB. Pickett had monster production in his last year at Pitt with 42 passing TDs to only seven INTs. Mitchell Trubisky likely will begin the season as the veteran bridge QB so Pickett should be best left on your waiver wire to start the year.",QB,126.1,91.072
33,Jacoby Brissett,CLE,34,1,109.1,0.3888888888888889,9,"Brissett somehow finds himself in a position to be the likely starting QB for the Browns in the midst of the Deshaun Watson legal drama playing out. He technically started five games for Miami last year while Tua Tagovailoa was hurt but they were putrid performances, to say the least. He's benefitted from being at the right place at the right time with Andrew Luck's injury (2017), Luck's retirement (2019), and now Watson's situation. Who knows how many games he will start but he is firmly off the redraft radar with a career completion rate (60%) and TD rate (3.2) that are vomit-worthy.",QB,109.1,42.428
34,Christian McCaffrey,CAR,1,62,315.5,0.6444444444444444,1,"The pain and drama that fantasy managers have felt over the last two years is nothing short of Oscar-worthy. When he's on the field, he's the elite of the elite finishing as a top-6 RB in seven of his ten starts the last two years. But the headline is the fact he's played in just 31 percent of his games the last two years. If you can't move past the emotional baggage, we get it. But facing a healthy CMC is like facing two players at the same time. We still view him as a difference-maker in an elite RB1 tier with only Jonathan Taylor in 2022.",RB,5.089,3.28
36,Austin Ekeler,LAC,3,53,276.7,0.3333333333333333,2,"There were some concerns heading into the season about Ekeler not being a big TD guy and whether he could handle a big workload. After coming on the podcast in the summer, there was some doubt although Ekeler was almost one of Jason’s “My Guys”. After 300 opportunities, it’s clear he was a league winner as one of seven RBs in league history with 20 TDs & 70 receptions in the same season. He had arguably one of the best red-zone seasons of all-time scoring all 20 of his TDs there. He averaged 10 fantasy points per game inside the 20. That’s the 2nd most over the last decade with Todd Gurley (2018) averaging 11.3 in his monster season. There is some debate if fantasy managers will be able to appreciate Ekeler enough to make him a top-3 pick as part of an exciting Chargers offense. He’s deserving of it, especially in PPR leagues.",RB,5.221,1.74
39,Dalvin Cook,MIN,6,47,251.9,0.2222222222222222,2,"Dalvin is as advertised: a top-notch fantasy RB when he's on the field but he's also never played a full season in his career. The usage is incredible as he saw the 5th most carries and finished with the 2nd most 15+ yard runs in the NFL. However, the big stain on his 2021 campaign was averaging a rushing TD once every 41.5 carries, a massive dip from the 19.4 he averaged over the previous two seasons. He should bounce back to double-digits in 2022 and the Vikings offense is one we are bullish on overall. Cook comes at a relative discount from his previous years but we still view him as an RB1 in the first round of your draft.",RB,5.36,1.191
40,Alvin Kamara,NO,7,46,251.1,0.2777777777777778,2,"We didn’t quite get the Super Kamario of old in 2022. Apart from missing Weeks 10-13, he dealt with having three different QBs (four if you count that one Ian Book game) and an offensive line that faced a ton of injuries. New Orleans started 13(!) different offensive linemen on the year. Kamara still averaged 22 touches per game, led all RBs in target share (20%), and saw the 5th most red-zone touches. However, he totaled only four rushing TDs, very “unKamarian” to say the least. Since 2010, Kamara tied for 2nd fewest rushing TDs (4) among RBs with 240+ carries in a season. In that sample size of 125 RBs… TD expectation for 240+ carries was 8.8 rush TDs. With his legal situation up in the air, Kamara could face up to a six-game suspension. Until details clear up further, he's a major risk/reward pick in the 2nd round.",RB,5.459,1.516
43,Ezekiel Elliott,DAL,10,40,235.7,0.36666666666666664,3,"Towards the end of the year, the prevailing narrative surrounding Zeke was that he was old and busted. While the Dallas offensive line was still elite, Elliott struggled to hit the century mark rushing the ball. It wasn’t for a lack of playing time as he ran the 2nd most routes of all RBs. He still was solid and in a season with lots of injuries at the RB position, he felt more like a low-end RB1 than someone who finished at RB6. His contract is an albatross so he’ll be right back to being the dude in Dallas in 2022. The old Zeke is gone but he could end up being a value as an RB2 slipping past the third round in drafts.",RB,5.892,2.16
46,Aaron Jones,GB,13,42,234.4,0.1888888888888889,3,"Jones finished barely inside the top-12 on the back of the 6th most RB receptions and the 9th most red-zone touches. While he finished out the fantasy season on a high note, he busted more than you would want (27% of the time) for an RB1. A.J. Dillon clearly has emerged as a valuable part of this offense but there is a world where both can coexist for fantasy. The Packers have the 5th most vacated targets in the NFL and our research shows often the RB position is the one that benefits the most when there is turnover. He's a relative value at the beginning of the 3rd round in drafts and someone we are high on while fantasy managers might be souring.",RB,5.581,1.054
47,Nick Chubb,CLE,14,37,222.1,0.25555555555555554,3,"At this point in his career, we know what Chubb brings to the table: monster rushing totals and one of the best tackle breakers in the NFL. He's the diet cola version of Derrick Henry, which is a massive compliment. Since coming into the league in 2018, Chubb trails only Henry in total rushing yards and finished as an RB1 each of the last three years. However, you know you're not getting much in the passing game averaging just 24 receptions per year. The Cleveland offense could be exciting with Deshaun Watson under center but his looming suspension brings an added risk to start the season. Chubb is a fringe RB1 with more boom/bust weeks than you might like.",RB,6.003,1.534
48,Javonte Williams,DEN,15,36,219.5,0.25555555555555554,4,"The tickets for the Javonte hype train were mailed and people were waiting at the train station ready to hop aboard before the Broncos re-signed Melvin Gordon late in the free-agency period. We were ready to crown Williams a top-10 back with upside to finish inside the top-3 at the position. Regardless, his rookie year was super encouraging with over 1,200+ yards from scrimmage and more than 50 targets. He was a force with the ball in his hands with the 6th most forced missed tackles among RBs. The Denver offense should be one to buy into across the board with Russell Wilson behind center. He's now more of a solid RB2 with Gordon around but everything in his profile says a breakout is coming.",RB,6.097,1.558
49,Saquon Barkley,NYG,16,35,219.3,0.4444444444444444,4,"It's Saquon's 5th year in the league but it feels like it's been eons since we've last seen this superhuman fully on the field. The Giants' offense was a laughingstock by the end of the year as the team hit their Vegas team implied total only five times all year. After returning from his injury and the Week 10 bye, Barkley averaged 3.7 yards per carry, scored one TD, and finished inside the top-20 among RBs just once. It was painful to watch if you had high hopes at the beginning of the season. He's now sunk so far down in the minds of fantasy managers that he becomes a potential value in 2022. You could do a lot worse than finding an RB2 in the third round.",RB,6.266,2.785
50,David Montgomery,CHI,17,31,203.2,0.30000000000000004,4,"Montgomery once again was a league-winner in fantasy as the RB2 from Week 13 through the fantasy playoffs. It's now back-to-back years that he's come on in the second half. The Bears seem willing to make him the only show in town at RB. His usage was elite seeing 86 percent of the RB rush attempts and 74 percent of the RB targets from Week 9 on. While the offense in Chicago projects as one of the least efficient in the league, his pace when he returned from injury last year was 374 opportunities. You can't find that type of workload too often this late in your draft. He's a perfect RB2 for your roster.",RB,6.555,1.967
51,Josh Jacobs,LV,18,30,202.4,0.36666666666666664,5,"Jacobs gave fantasy managers about as solid an RB2 season as you could ask for. He saw the 5th most RB receptions after the Raiders finally came to their senses and nine rushing TDs on the ground. RB15 is nothing to shy away from but realize Kenyan Drake also missed half the season with an ankle injury. After the new coaching regime and management did not exercise his 5th-year option, Jacobs could be in his last year in the silver and black. Over the last three years, only Dalvin Cook has more red-zone rushing attempts than Jacobs so you're banking on 8+ rushing TDs on the ground. Consider him in the RB15-20 range which is a valuable asset in fantasy but the ceiling likely isn't much higher.",RB,6.747,2.474
52,Breece Hall,NYJ,19,28,196.0,0.41111111111111115,5,"The Jets traded up to get Hall in the 2nd round and the only competition in front of him is 5'8"" Michael Carter. Hall likely won't dominate all three downs but he has everything you want in his production profile. Overtaking the diminutive Carter on 3rd down is only a matter of time. We've seen at least two rookie RBs finish inside the top-24 each of the last seven years and Hall has the best shot to be part of that group in 2022. Consider him an RB2 with upside although the Jets offense will need to prove itself more competent than 28th in points per game for him to hit a ceiling outcome.",RB,7.0,2.878
54,Antonio Gibson,WAS,21,27,190.9,0.4444444444444444,5,"From Weeks 1-8, he was the RB19 in total points and the RB29 averaging only 10.9 fantasy points per game. However, the second half was a different story. From Week 10 on, he was the RB4. Some of this success was due to the absence of J.D. McKissic, who was concussed in Week 12 and did not return for the rest of the season. From that point on, Gibson saw five targets per game. Overall, he still tied with Joe Mixon for 2nd most 1st downs among all RBs. But the TDs were the major story. In 2020, he had a TD every 15 carries; in 2021, that regressed to every 37 carries. His floor seems high but the dreams of him being a top-5 guy are likely over. He's more of an RB2 moving forward when you also add in the wildcard that is Carson Wentz.",RB,7.07,3.142
55,Travis Etienne Jr.,JAX,22,25,187.4,0.5555555555555556,5,Etienne's Lisfranc injury was just the beginning of a forgettable season in Jacksonville. But now the slate can be wiped clean and all Urban Meyer-related thoughts can be cast aside. Remember this team spent 1st round draft capital on him and everything in his production and athletic profile states he could see 60+ receptions right away. He's settling in nicely as a 5th-round RB with upside to finish inside the top-15 if things break right.,RB,7.496,4.164
56,Cam Akers,LAR,23,24,183.6,0.6333333333333333,5,"Akers' Achilles injury and his recovery were one of the major fantasy storylines of 2022 especially after returning in the NFL playoffs. While the Rams win the Super Bowl, Akers was thrust into the lead role with mixed reviews. He averaged a porous 3.3 yards per touch and some of the burst we saw in his rookie year looked lost. With more than a year removed from the injury, Akers is getting hyped as a potential RB1 in fantasy this year. We aren't as bullish on his prospects tempering our expectations more in the low-end RB2 range. While 15+ touches a game seems fair to project, the efficiency might leave much to be desired.",RB,7.65,4.845
57,Chase Edmonds,MIA,24,24,181.0,0.4444444444444444,5,"As the Cardinals season went, so went Edmonds. Through Week 8, the Cardinals were 7-1 as Edmonds was the RB20 averaging 14 opportunities per game including a healthy 4.6 targets. However, he was injured the next week and didn't return until Week 15. Now in Miami after signing one of the first free-agent deals of the off-season, he'll be in the mix with Raheem Mostert, Sony Michel, and Myles Gaskin. Edmonds profiles as the best fantasy option of the bunch given his receiving abilities but it's hard to envision more than FLEX territory for him.",RB,7.542,3.352
58,AJ Dillon,GB,25,24,180.1,0.25555555555555554,5,"Dillon started slowly behind Aaron Jones before becoming a viable RB2 the rest of the season. In Week 10, he was the RB1 on the week against Seattle showcasing what kind of potential he has in fantasy. He saw the same number of goal-line carries as Jones and worked in the passing game way more than you might have realized with 34 receptions, the same amount as Dalvin Cook. Dillon's weekly floor might be scary but the Packers might have to send both RBs out on the field together more often with a lack of dependable options in the passing game. Consider him an RB2 with massive upside with the added intimidation he brings to your squad with the best quads in the league.",RB,7.504,1.918
59,Clyde Edwards-Helaire,KC,26,23,179.1,0.4444444444444444,5,"We've come a long way since CEH was a top-5 redraft pick his rookie year. But it felt like it was the same refrain last year with some early excitement after two 100+ rushing yard games before suffering a knee injury and going on injured reserve. While he returned in Week 11, it always felt like Darrel Williams and Jerick McKinnon were the more trusted backs. Kansas City has the 2nd most vacated targets in the NFL where CEH could certainly benefit to see an uptick in passing work. He's a value but expecting anything more than low-end RB2 production might be wishful thinking.",RB,7.787,3.461
60,Rashaad Penny,SEA,27,23,178.7,0.5888888888888889,5,"For the first 12 weeks of the season, you probably forgot Penny was even in the league with 43 total rush yards as the (checks notes... scrolls... hold on... wait for it...) RB119. Heck, his brother Elijhaa Penny had more fantasy points as a full-back. But boy did things change... He ended up leading the league in yards per carry (6.3) and running for 700+ in his final six games. It was the stuff of fantasy legends and the Seahawks decided to bring him back on a one-year deal. He's a bruiser so his running style might not hold up over the course of a season. With Kenneth Walker III selected in the 2nd round, you're not expecting the same magic from Penny for long. But maybe he's the type of first-half RB2 your team needs at an affordable draft price.",RB,7.77,4.576
